id,name,role,phone
1,張玉松,學生,09 3834 4639
2, 彭心怡,學生,09 2438 8875
3, 吳明岳,學生,09 9012 2477
4, 張伊法,學生,09 6424 8866
5, 黃雅迪,學生,09 5631 9582
6, 林昱屏,學生,09 0831 5421
7, 李志儀,學生,09 8381 2153
8, 曲雅琪,學生,09 3255 1146
9, 趙曼毓,學生,09 8205 6314
10, 張冠宇,學生,09 1697 1773
11, 詹合梅,學生,09 8787 0349
12, 阮欣怡,學生,09 5972 6447
13, 李慧婷,學生,09 4839 8474
14, 王海貴,學生,09 4591 9303
15, 黃建宏,學生,09 1740 5362
16, 宮志明,學生,09 9281 3761
17, 丁家瑋,學生,09 8039 0118
18, 楊淑倩,學生,09 1667 9002
19, 陳智超,學生,09 7787 9118
20, 陳建恭,學生,09 0987 5408
21, 陳妙吟,學生,09 6561 6571
22, 林美娟,學生,09 2542 4872
23, 李欣宜,學生,09 4244 4953
24, 蔡安岳,學生,09 2515 6528
25, 林和如,學生,09 3441 1547
26, 賴書瑄,學生,09 7772 6005
27, 蔡靜宜,學生,09 1493 4419
28, 彭志祥,學生,09 5992 0023
29, 刁佳燕,學生,09 8989 7463
30, 林嘉珊,學生,09 5869 8845
31, 林秀玫,學生,09 1439 3942
32, 王宗翰,學生,09 3483 0806
33, 鄭家維,學生,09 2562 9955
34, 黃建倩,學生,09 7470 0699
35, 林瑋迪,學生,09 7460 6455
36, 何佑霖,學生,09 9761 7133
37, 吳宜利,學生,09 2690 0646
38, 許羿念,學生,09 1464 5198
39, 溫家華,學生,09 0332 3720
40, 楊心怡,學生,09 9492 4898
41, 劉佩珊,學生,09 6896 0122
42, 金安琪,學生,09 9794 2505
43, 戴詩涵,學生,09 3343 4068
44, 梁奕君,學生,09 0112 4579
45, 王青航,學生,09 1123 2392
46, 陳璇霞,學生,09 6721 6856
47, 林淑婷,學生,09 0437 3915
48, 陳志平,學生,09 0014 5428
49, 潘火芷,學生,09 3940 5766
50, 林怡民,學生,09 9390 1119
51, 袁子軒,學生,09 9749 2182
52, 陳偉屏,學生,09 1193 1739
53, 方寶行,學生,09 0601 7203
54, 葉孟璇,學生,09 7172 9750
55, 韓國維,學生,09 1964 3570
56, 吳立偉,學生,09 8403 2626
57, 翁苡怡,學生,09 2558 1400
58, 林宛城,學生,09 2330 0155
59, 李凱鈞,學生,09 2664 4246
60, 虞青典,學生,09 6985 3465
61, 韓育菁,學生,09 6054 4806
62, 許昆元,學生,09 6939 4660
63, 高致發,學生,09 2907 2160
64, 林宗瑞,學生,09 5929 8597
65, 程惠萍,學生,09 0850 2733
66, 孫詩泉,學生,09 1193 2206
67, 陳翰馨,學生,09 4734 7266
68, 王瑤瑩,學生,09 7706 0860
69, 柏長辰,學生,09 2357 3676
70, 金坤順,學生,09 3410 5633
71, 張羿輝,學生,09 5208 9951
72, 張毓泉,學生,09 7276 6965
73, 鄭淑玲,學生,09 5414 6840
74, 李秀坤,學生,09 3283 6166
75, 陳郁翔,學生,09 9198 0270
76, 陳怡芬,學生,09 3447 7281
77, 謝映夫,學生,09 0064 1999
78, 謝昱廷,學生,09 4857 4816
79, 王偉安,學生,09 6145 9401
80, 陳瑋倫,學生,09 9077 7448
81, 許小泰,學生,09 6637 0644
82, 吳守麟,學生,09 9688 3438
83, 支君奇,學生,09 7942 2166
84, 馮芳儀,學生,09 1960 3470
85, 陳郁智,學生,09 8005 3494
86, 沈于宇,學生,09 5863 6146
87, 蔡宗琦,學生,09 1676 6034
88, 劉淑菁,學生,09 5429 0849
89, 葉玫綺,學生,09 1209 9646
90, 方仁傑,學生,09 5835 1064
91, 陳劭谷,學生,09 4457 1450
92, 陳國全,學生,09 8544 4585
93, 楊少盛,學生,09 4631 1844
94, 馮志賢,學生,09 0194 0312
95, 柯雅惠,學生,09 5688 5468
96, 趙智儀,學生,09 2689 0881
97, 胡筱雯,學生,09 0490 2270
98, 李裕欣,學生,09 6306 3943
99, 李石孝,學生,09 0635 0858
100, 謝宏儒,學生,09 8850 6188
101, 張哲豪,學生,09 2074 9959
102, 陳伊福,學生,09 7068 8947
103, 李冠亦,學生,09 3432 4959
104, 彭倫吉,學生,09 6904 4908
105, 蔡孟利,學生,09 3133 3233
106, 游勳年,學生,09 7531 7540
107, 陳婉瑜,學生,09 2007 2346
108, 王湖紫,學生,09 9524 9773
109, 吳佳鈺,學生,09 5207 9790
110, 陳彥盛,學生,09 4322 9707
111, 李瑩平,學生,09 4632 9466
112, 黃詩雅,學生,09 6810 9859
113, 陳石綠,學生,09 5997 6818
114, 李依萍,學生,09 5346 0170
115, 陳健豪,學生,09 1021 1421
116, 黃淑福,學生,09 8618 8358
117, 葉志傑,學生,09 5722 4312
118, 楊樂行,學生,09 3481 5292
119, 余品屏,學生,09 0166 3866
120, 陳品祥,學生,09 8582 7261
121, 張歡鴻,學生,09 5128 6667
122, 沈登萍,學生,09 6432 0340
123, 林慧韋,學生,09 9155 0838
124, 吳峻康,學生,09 1812 3756
125, 張珮淑,學生,09 5380 4335
126, 李向昌,學生,09 5018 3480
127, 謝妙弘,學生,09 6048 3782
128, 毛尚奇,學生,09 2362 6713
129, 蔡淑姍,學生,09 6580 0212
130, 張傑倫,學生,09 6588 5278
131, 曾昆霖,學生,09 2323 8008
132, 蔡偉倫,學生,09 7117 0872
133, 韓姿伶,學生,09 0712 6398
134, 陳志昆,學生,09 5317 5536
135, 蔡欣鑫,學生,09 9984 7109
136, 鄭雅婷,學生,09 6418 6348
137, 劉偉誠,學生,09 3399 7322
138, 傅立花,學生,09 1562 7919
139, 李婉善,學生,09 4890 0997
140, 余子儀,學生,09 8898 1661
141, 王詩政,學生,09 2951 6403
142, 張怡廷,學生,09 0868 4415
143, 陳宏昇,學生,09 2066 1096
144, 王育儒,學生,09 9112 4939
